DATE,PN,CN,COVID
190201,0.2960041335650852,53,0
190202,0.2960041335650853,6,0
190203,0.2960041335650853,1,0
190206,0.2960041335650855,282,0
190207,0.2960041335650853,1897,0
190208,0.2960041335650853,1028,0
190209,0.2960041335650856,131,0
190210,0.2960041335650852,34,0
190211,0.2960041335650853,1887,0
190212,0.2960041335650853,1004,0
190213,0.29600413356508537,980,0
190214,0.2960041335650853,771,0
190215,0.2960041335650853,899,0
190216,0.2960041335650856,169,0
190217,0.2960041335650852,31,0
190218,0.2960041335650853,1594,0
190219,0.2960041335650853,1041,0
190220,0.2960041335650853,871,0
190221,0.2960041335650853,793,0
190222,0.2960041335650853,943,0
190223,0.29600413356508554,91,0
190224,0.2960041335650856,143,0
190225,0.2960041335650853,1568,0
190226,0.2960041335650853,962,0
190227,0.2960041335650853,925,0
190228,0.2960041335650853,763,0
190301,-0.036042352517445884,5,0
190302,-0.036042352517445864,137,0
190303,-0.0360423525174459,37,0
190304,-0.036042352517445884,1871,0
190305,-0.036042352517445884,1079,0
190306,-0.036042352517445884,917,0
190307,-0.036042352517445884,822,0
190308,-0.036042352517445884,796,0
190309,-0.03604235251744587,184,0
190310,-0.036042352517445884,16,0
190311,-0.036042352517445884,1637,0
190312,-0.036042352517445884,967,0
190313,-0.036042352517445884,909,0
190314,-0.036042352517445884,763,0
190315,-0.036042352517445884,703,0
190316,-0.036042352517445864,115,0
190317,-0.036042352517445884,25,0
190318,-0.036042352517445884,1444,0
190319,-0.036042352517445884,1079,0
190320,-0.036042352517445884,885,0
190321,-0.036042352517445884,823,0
190322,-0.036042352517445884,733,0
190323,-0.03604235251744586,78,0
190324,-0.036042352517445884,12,0
190325,-0.036042352517445884,1504,0
190326,-0.036042352517445884,1053,0
190327,-0.036042352517445884,820,0
190328,-0.036042352517445884,802,0
190329,-0.036042352517445884,789,0
190330,-0.036042352517445864,142,0
190331,-0.036042352517445884,17,0
190401,0.3428010770252773,1473,0
190402,0.3428010770252773,979,0
190403,0.3428010770252773,894,0
190404,0.3428010770252773,794,0
190405,0.3428010770252773,714,0
190406,0.34280107702527696,84,0
190407,0.3428010770252773,9,0
190408,0.3428010770252773,1415,0
190409,0.3428010770252773,977,0
190410,0.3428010770252773,856,0
190411,0.3428010770252773,836,0
190412,0.3428010770252773,794,0
190413,0.34280107702527696,84,0
190414,0.3428010770252773,13,0
190415,0.3428010770252773,1496,0
190416,0.3428010770252773,953,0
190417,0.3428010770252773,883,0
190418,0.3428010770252773,897,0
190419,0.3428010770252773,853,0
190420,0.34280107702527696,86,0
190421,0.3428010770252773,19,0
190422,0.3428010770252773,1549,0
190423,0.3428010770252773,982,0
190424,0.3428010770252773,908,0
190425,0.3428010770252773,861,0
190426,0.3428010770252773,758,0
190427,0.34280107702527696,103,0
190428,0.3428010770252773,36,0
190429,0.3428010770252773,1607,0
190430,0.3428010770252773,959,0
190501,0.7659961325781683,392,0
190502,0.7659961325781682,1298,0
190503,0.7659961325781682,808,0
190504,0.7659961325781691,84,0
190505,0.7659961325781685,7,0
190506,0.7659961325781687,128,0
190507,0.7659961325781682,2033,0
190508,0.7659961325781682,988,0
190509,0.7659961325781682,937,0
190510,0.7659961325781682,1074,0
190511,0.7659961325781689,280,0
190512,0.7659961325781685,58,0
190513,0.7659961325781682,1710,0
190514,0.7659961325781682,1204,0
190515,0.7659961325781682,1069,0
190516,0.7659961325781682,829,0
190517,0.7659961325781682,830,0
190518,0.7659961325781691,86,0
190519,0.7659961325781685,22,0
190520,0.7659961325781682,1523,0
190521,0.7659961325781682,939,0
190522,0.7659961325781682,855,0
190523,0.7659961325781682,972,0
190524,0.7659961325781682,776,0
190525,0.7659961325781692,84,0
190526,0.7659961325781685,11,0
190527,0.7659961325781682,1491,0
190528,0.7659961325781682,1029,0
190529,0.7659961325781682,1038,0
190530,0.7659961325781682,905,0
190531,0.7659961325781682,776,0
200201,0.7704757792609084,80,0
200202,0.7704757792609079,44,2
200203,0.7704757792609075,1545,15
200204,0.7704757792609075,995,0
200205,0.7704757792609075,959,18
